Category,FullName,ShortName,address,geometry
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 220 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 220 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Шмитовский проезд, дом 25, строение 1",POINT(37.542939909 55.75625382)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический центр № 2 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ КДЦ № 2 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 24, корпус 9",POINT(37.755901059 55.822737861)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника «Щербинская» Департамента здравоохранения города Москвы»,ГБУЗ Поликлиника «Щербинская» ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щербинка, город Щербинка, Первомайская улица, дом 10, строение 1",POINT(37.570302773 55.504531643)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 45 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 45 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, 1-я Радиаторская улица, дом 5",POINT(37.494888337 55.818395393)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23 филиал № 5 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 23 филиал № 5 ДЗМ,"город Москва, улица Недорубова, дом 2",POINT(37.929933887 55.698595856)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический центр № 2 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ КДЦ № 2 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, улица Хромова, дом 45",POINT(37.722916815 55.801212836)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 8 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 8 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, улица Кравченко, дом 14",POINT(37.517829974 55.679123515)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 52 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 52 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Элеваторная улица, дом 15",POINT(37.660448022 55.602762153)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 6 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 6 филиал № 1ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, 1-я Квесисская улица, дом 8",POINT(37.581507882 55.794067601)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 180 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 180 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Уваровский переулок, дом 4",POINT(37.349189069 55.830682587)
