rating_position,school_name,okrug,district,address,top_50,location
94,Спецшкола-интернат № 2,Северный,Аэропорт,Россия. город Москва. Большой Коптевский проезд. дом 5,F,POINT(37.53515 55.80994)
95,Школа № 1570,Северный,Беговой,Россия. город Москва. 5-я улица Ямского Поля. дом 28,F,POINT(37.57709 55.78930)
96,Школа № 224,Северный,Войковский,Россия. город Москва. Ленинградское шоссе. дом 54,F,POINT(37.48427 55.83790)
97,Школа «Дмитровский»,Северный,Дмитровский,Россия. город Москва. Дмитровское шоссе. дом 137А,F,POINT(37.53990 55.89230)
98,Школа № 1576,Северный,Коптево,Россия. город Москва. Михалковская улица. дом 14,F,POINT(37.53356 55.83855)
99,Школа № 185,Северный,Коптево,Россия. город Москва. Михалковская улица. дом 3,F,POINT(37.53524 55.83709)
100,Школа № 1590,Северный,Ховрино,Россия. город Москва. Фестивальная улица. дом 69,F,POINT(37.50291 55.86229)
101,Школа № 597 «Новое поколение»,Северный,Ховрино,Россия. город Москва. Петрозаводская улица. дом 19А,F,POINT(37.49002 55.86570)
102,Школа № 648,Северный,Ховрино,Россия. город Москва. 3-й Лихачёвский переулок. дом 2А,F,POINT(37.51689 55.84687)
103,Школа № 1287,Северный,Хорошевский,Россия. город Москва. проезд Аэропорта. дом 10,F,POINT(37.52094 55.79641)
104,Школа № 1288,Северный,Хорошевский,Россия. город Москва. Хорошёвское шоссе. дом 64А,F,POINT(37.52965 55.77800)
105,Школа № 1409,Северный,Хорошевский,Россия. город Москва. Ходынский бульвар. дом 7,F,POINT(37.53152 55.78432)
106,Школа № 1539,Северо-Восточный,Алексеевский,Россия. город Москва. Староалексеевская улица. дом 1,F,POINT(37.64178 55.81033)
107,Школа-интернат № 1 (для слепых),Северо-Восточный,Алексеевский,Россия. город Москва. 3-я Мытищинская улица. дом 5. стр. 6,F,POINT(37.64460 55.80715)
108,Школа Глория,Северо-Восточный,Бибирево,Россия. город Москва. Белозерская улица. дом 12,F,POINT(37.61617 55.89560)
109,Школа № 1430,Северо-Восточный,Лианозово,Россия. город Москва. Новгородская улица. дом 21А,F,POINT(37.57793 55.90054)
110,Школа № 1573,Северо-Восточный,Лианозово,Россия. город Москва. Псковская улица. дом 11,F,POINT(37.55277 55.90666)
111,Школа № 1955,Северо-Восточный,,Россия. город Москва. Тайнинская улица. дом 15. корп. 3,F,POINT(37.68314 55.88492)
112,Школа № 1411,Северо-Восточный,Отрадное,Россия. город Москва. улица Бестужевых. дом 23,F,POINT(37.60962 55.87214)
113,Школа «Свиблово»,Северо-Восточный,Свиблово,Россия. город Москва. улица Седова. дом 4. корп. 1,F,POINT(37.64214 55.85286)
114,Школа № 1506,Северо-Восточный,"Северное 
Медведково",Россия. город Москва. Широкая улица. дом 1А,F,POINT(37.65069 55.88983)
115,Школа № 2044 им. А.М. Серебрякова,Северо-Восточный,Северный,Россия. город Москва. Дмитровское шоссе. дом 169Б,F,POINT(37.54133 55.93230)
116,Школа № 709 им. В.И. Долгих,Северо-Восточный,Северный,Россия. город Москва. 9-я Северная линия. дом 1. корп. 2,F,POINT(37.55324 55.93452)
117,Школа № 2005,Северо-Западный,Куркино,Россия. город Москва. Воротынская улица. дом 12,F,POINT(37.39418 55.89007)
118,Школа № 1564 им. А.П. Белобородова,Северо-Западный,Митино,Россия. город Москва. улица Рословка. дом 8,F,POINT(37.36043 55.83028)
119,Школа № 1944,Северо-Западный,Митино,Россия. город Москва. улица Барышиха. дом 17. корп. 1,F,POINT(37.34962 55.84234)
120,Школа № 827,Северо-Западный,Северное Тушино,Россия. город Москва. улица Героев Панфиловцев. дом 35. корп. 2,F,POINT(37.41345 55.85494)
121,Школа № 58,Северо-Западный,Строгино,Россия. город Москва. улица Твардовского. дом 12А,F,POINT(37.39874 55.79381)
122,Хорошевская школа,Северо-Западный,"Хорошево 
Мневники",Россия. город Москва. улица Народного Ополчения. дом 9А,F,POINT(37.47037 55.77187)
123,Школа № 2097,Северо-Западный,Южное Тушино,Россия. город Москва. Аэродромная улица. дом 9,F,POINT(37.42989 55.84582)
124,Школа № 1234,Центральный,Арбат,Россия. город Москва. Новинский бульвар. дом 20,F,POINT(37.58457 55.75502)
125,Школа № 627 им. Д.Д. Лелюшенко,Центральный,Замоскворечье,Россия. город Москва. Житная улица. дом 6,F,POINT(37.62052 55.73051)
126,Школа № 2054,Центральный,Мещанский,Россия. город Москва. Трубная улица. дом 36,F,POINT(37.62592 55.77256)
127,Романовская школа,Центральный,Пресненский,Россия. город Москва. Большой Кондратьевский переулок. дом 3,F,POINT(37.58245 55.77285)
128,Школа № 1520 имени Капцовых,Центральный,Пресненский,Россия. город Москва. Леонтьевский переулок. дом 19/2. стр. 1,F,POINT(37.60462 55.76083)
129,Школа № 1950,Центральный,Пресненский,Россия. город Москва. Зоологическая улица. дом 28. стр. 1,F,POINT(37.58487 55.76645)
130,Инженерная школа № 1581,Центральный,Таганский,Россия. город Москва. Новая Басманная улица. дом 4-6. стр. 4,F,POINT(37.65510 55.76844)
131,Школа № 498,Центральный,Таганский,Россия. город Москва. улица Народная. дом 11. стр. 2,F,POINT(37.65199 55.73786)
132,Школа № 1574,Центральный,Тверской,Россия. город Москва. 1-я Миусская улица. дом 4,F,POINT(37.59691 55.77978)
133,Школа № 1253,Центральный,Хамовники,Россия. город Москва. улица Зубовская. дом 3,F,POINT(37.58486 55.73773)
134,Сеченовский Университет (Предуниверсарий),Центральный,Хамовники,Россия. город Москва. 2-я Бородинская улица. дом 11,F,POINT(37.56736 55.74845)
135,Школа № 1799,Центральный,Якиманка,Россия. город Москва. 1-й Кадашёвский переулок. дом 3. стр. 1,F,POINT(37.62146 55.74422)
136,Школа № 1420,Юго-Восточный,"Выхино 
Жулебино",Россия. город Москва. Ташкентская улица. дом 21. корп. 2,F,POINT(37.81499 55.70088)
137,Школа № 1793 имени А.К. Новикова,Юго-Восточный,"Выхино 
Жулебино",Россия. город Москва. Жулебинский бульвар. дом 38,F,POINT(37.84785 55.68395)
138,Школа № 1208 имени М.С. Шумилова,Юго-Восточный,Кузьминки,Россия. город Москва. Зеленодольская улица. дом 33. корп. 3,F,POINT(37.77120 55.70774)
139,Марьинская школа № 1566,Юго-Восточный,Марьино,Россия. город Москва. Люблинская улица. дом 173,F,POINT(37.74848 55.64708)
140,Школа «Марьино» имени А.Е. Голованова,Юго-Восточный,Марьино,Россия. город Москва. Батайский проезд. дом 23,F,POINT(37.72042 55.64377)
