category,fullname,shortname,address,location
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 15 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 15 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, Коптевский бульвар, дом 18Б",POINT(37.524315567 55.833625986)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 148 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 148 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Белореченская улица, дом 26, корпус 1",POINT(37.76958119 55.6645016)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 28 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 28 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, Халтуринская улица, дом 7А",POINT(37.727419106 55.800027055)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 105 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 105 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Матушкино, город Зеленоград, корпус 225А",POINT(37.204813571 56.001824117)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 94 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 94 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, улица Демьяна Бедного, дом 18, корпус 1, строение 1",POINT(37.488702658 55.777451958)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 58 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 58 филиал № 3 ДЗМ,"город Москва, Пехотная улица, дом 3, строение 16",POINT(37.487993851 55.80344791)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 52 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 52 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, Зверинецкая улица, дом 15",POINT(37.732808848 55.78481221)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 131 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 131 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Проспект Вернадского, проспект Вернадского, дом 28",POINT(37.500231218 55.676851252)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 30 филиал № 5 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 30 филиал № 5 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Филёвский бульвар, дом 18",POINT(37.478660506 55.763970234)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 131 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 131 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Большая Очаковская улица, дом 38-А",POINT(37.448314269 55.678555777)
